#,0x0,efuse_op,EFUSE_CTRL,,,,,,,,,,,,,
,Range,Reset,Type,Name,Clock Domain,Event,Soft Reset,CDC Buffer,Desc,,,,,,,
,[2],0x0,SCREG,efuse_en,,,,,,,,,,,,
,[1],0x0,RWR,efuse_write_en,,,,,,,,,,,,
,[0],0x0,ROLH,efuse_ready,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
#,0x1,efuse_addr,EFUSE_CTRL,,,,,,,,,,,,,
,Range,Reset,Type,Name,Clock Domain,Event,Soft Reset,CDC Buffer,Desc,,,,,,,
,[5:0],0x0,RWR,efuse_addr,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
#,0x3,efuse_wdata,EFUSE_CTRL,,,,,,,,,,,,,
,Range,Reset,Type,Name,Clock Domain,Event,Soft Reset,CDC Buffer,Desc,,,,,,,
,[15:0],0x0,RWR,efuse_wdata,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
#,0x4,efuse_rdata,EFUSE_CTRL,,,,,,,,,,,,,
,Range,Reset,Type,Name,Clock Domain,Event,Soft Reset,CDC Buffer,Desc,,,,,,,
,[15:0],0x0,RODEV,efuse_rdata,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
#,0x5,T_PGM,EFUSE_CFG,,,,,,,,,,,,,
,Range,Reset,Type,Name,Clock Domain,Event,Soft Reset,CDC Buffer,Desc,25MHz: SMIC40 Value,50MHz: SMIC40 Value,100MHz: SMIC40 Value,,25MHz: SMIC28 Value,50MHz: SMIC28 Value,100MHz: SMIC28 Value
,[10:0],0xfb,RWR,T_PGM,,,,,"Burning time: 
1. SMIC40 Min = 9000ns, Typ = 10000ns, Max = 11000ns
2. SMIC28 Min = 10800ns, Typ = 12000ns, Max = 13200ns",0xfb,0x1f5,0x3e9,,0x12d,0x259,0x4b1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
#,0x6,T_WR_AEN,EFUSE_CFG,,,,,,,,,,,,,
,Range,Reset,Type,Name,Clock Domain,Event,Soft Reset,CDC Buffer,Desc,25MHz:SMIC40 Value,50MHz: SMIC40 Value,100MHz:SMIC40 Value,,25MHz:SMIC28 Value,50MHz: SMIC28 Value,100MHz:SMIC28 Value
